###sprites.png
##1 //EntityIdentificator::SHIP
#0 //STAND_BY_RIGHT
32 48 0 0 0 168 32 48 500 8 7 22 48
32 48 0 0 32 168 32 48 500 8 7 22 48
#1 //STAND_BY_LEFT
32 48 0 0 0 120 32 48 500 6 7 20 48
32 48 0 0 32 120 32 48 500 6 7 20 48
#2 //RUN_TO_RIGHT
32 48 0 0 64 168 32 48 25 8 7 22 48
32 48 0 0 96 168 32 48 25 8 7 22 48
32 48 0 0 128 168 32 48 25 8 5 22 48
32 48 0 0 160 168 32 48 25 8 5 22 48
#3 //RUN_TO_LEFT
32 48 0 0 64 120 32 48 25 6 7 20 48
32 48 0 0 96 120 32 48 25 6 7 20 48
32 48 0 0 128 120 32 48 25 6 5 20 48
32 48 0 0 160 120 32 48 25 6 5 20 48
#4 //JUMP_RIGHT
40 57 -11 -8 120 0 40 57 150 18 15 32 55
40 57 -8 -8 160 0 40 57 22150 15 18 29 49 5 0 35 20
#5 //JUMP_LEFT
40 57 -7 -8 120 57 40 57 150 13 15 27 55
40 57 -4 -8 160 57 40 57 22150 12 18 24 49 5 0 35 20
#6 //FALL_RIGHT
40 57 -8 -7 200 0 40 57 22150 16 18 26 49
#7 //FALL_LEFT
40 57 -4 -7 200 57 40 57 22150 13 18 23 49
#8 //HIT_RIGHT
40 57 2 -6 0 0 40 57 100 7 19 21 50 0 0 30 18
40 57 2 0 40 0 40 57 100 4 9 20 47 15 0 42 25
40 57 2 0 80 0 40 57 100 7 8 23 41 15 20 42 60
#9 //HIT_LEFT
40 57 -14 -6 0 57 40 57 100 19 19 33 50 10 0 40 18
40 57 -14 0 40 57 40 57 100 20 9 36 47 -2 0 27 25
40 57 -14 0 80 57 40 57 100 17 8 33 41 -2 20 27 60
#10 //SLIP_TO_RIGHT
32 48 0 0 192 168 32 48 22150 8 7 22 48
#11 //SLIP_TO_LEFT
32 48 0 0 192 120 32 48 22150 6 7 20 48
#12 //JUMP_DEAD
32 48 0 0 448 416 32 48 100 0 0 32 48
32 48 0 0 480 416 32 48 100 0 0 32 48
32 48 0 0 448 464 32 48 100 0 0 32 48
32 48 0 0 480 464 32 48 100 0 0 32 48
#13 //RESPAWN_RIGHT
32 48 0 0 0 168 32 48 100 8 7 22 48
32 48 0 0 240 0 32 48 100 8 7 22 48
32 48 0 0 0 168 32 48 100 8 7 22 48
#14 //RESPAWN_LEFT
32 48 0 0 0 120 32 48 100 6 7 20 48
32 48 0 0 240 0 32 48 100 8 7 20 48
32 48 0 0 0 120 32 48 100 6 7 20 48
